url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_sign,num_question_marks,num_equals,num_percent,num_ampersands,num_digits_in_url,has_ip_address,has_https,url_entropy,num_subdomains,domain_length,has_suspicious_tld,path_length,query_length,has_suspicious_words,suspicious_word_count,num_hex_encoding,has_double_slash_in_path,has_at_in_netloc,domain_has_digits,has_login_form,has_password_field,has_iframe,has_meta_redirect,num_external_links,form_action_external,num_scripts,has_hidden_elements,domain_age_days,has_ssl,ssl_valid,domain_resolves,label
30,1,0,0,5,0,0,0,0,0,0,0,1,4.0029,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,4253,1,1,1,0
96,3,2,0,5,0,0,0,3,0,15,0,1,4.8893,2,18,0,52,0,1,3,1,0,0,1,1,1,0,0,0,0,4,0,87,1,1,1,1
128,4,1,1,5,0,1,4,18,3,31,0,0,5.1291,3,19,0,34,41,1,3,6,0,0,1,1,0,1,1,3,1,7,0,55,0,0,1,1
40,1,0,0,5,0,0,0,0,0,0,0,1,4.0348,0,9,0,19,0,0,0,0,0,0,0,1,1,0,0,16,0,13,0,4716,1,1,1,0
23,1,0,0,3,0,0,0,0,0,0,0,1,3.8164,0,7,0,4,0,0,0,0,0,0,0,1,0,0,0,17,0,7,0,4761,1,1,1,0
132,5,2,0,5,0,1,1,0,0,41,1,1,5.1692,2,10,0,84,10,1,3,0,0,0,1,1,1,1,0,3,0,2,1,35,1,0,1,1
41,2,0,0,5,0,0,0,0,0,0,0,1,4.1107,1,9,0,15,0,0,0,0,0,0,0,0,1,0,0,4,0,11,0,2775,1,1,1,0
122,1,1,2,5,0,1,1,0,0,32,0,1,5.2065,0,16,1,81,10,1,1,0,0,0,1,1,1,0,0,0,0,5,0,16,1,1,0,1
40,2,0,0,5,0,0,0,0,0,0,0,1,3.6222,1,3,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,1032,1,1,1,0
20,1,0,0,3,0,0,0,0,0,0,0,1,3.3087,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,8,0,2397,1,1,1,0
71,3,1,1,5,0,0,0,0,0,9,0,1,4.9351,2,8,0,38,0,1,3,0,0,0,1,1,1,1,1,5,1,2,1,48,1,0,1,1
46,2,1,0,4,0,0,0,6,0,6,0,1,4.4123,1,14,1,11,0,1,2,2,0,0,1,1,1,0,0,1,1,5,0,89,1,0,1,1
93,1,0,0,4,0,1,5,0,4,31,0,1,4.7974,0,8,0,12,61,1,1,0,0,0,1,0,0,0,1,1,1,7,1,5,1,0,1,1
33,1,0,0,4,0,0,0,0,0,0,0,1,3.87,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,855,1,1,1,0
19,1,0,0,3,0,0,0,0,0,0,0,1,3.5369,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,458,1,1,1,0
71,2,1,0,4,1,1,2,0,1,15,0,0,4.863,1,20,0,13,20,1,2,0,0,0,1,1,1,0,0,3,1,6,0,7,0,0,1,1
37,1,0,0,4,0,0,0,0,0,0,0,1,3.8615,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,846,1,1,1,0
35,2,0,0,4,0,0,0,0,0,0,0,1,4.036,1,4,0,14,0,0,0,0,0,0,0,1,0,0,0,12,0,7,0,4367,1,1,1,0
128,3,3,1,5,0,1,3,0,2,35,0,0,5.0353,2,13,1,60,28,1,3,0,0,0,1,1,0,1,1,0,0,2,0,51,0,0,0,1
25,1,0,0,3,0,0,0,0,0,0,0,1,3.8635,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,1326,1,1,1,0
85,2,2,1,5,0,0,0,6,0,21,0,1,4.9769,1,8,1,56,0,1,2,2,0,0,1,1,1,0,0,4,0,6,1,11,1,1,1,1
25,1,0,0,3,0,0,0,0,0,0,0,1,3.9435,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,2324,1,1,1,0
38,1,0,0,4,0,1,1,0,0,4,0,1,4.1658,0,6,0,12,8,0,0,0,0,0,0,0,0,0,0,13,0,4,0,3425,1,1,1,0
98,4,0,0,5,0,0,0,0,0,16,0,1,4.7219,3,7,1,58,0,1,3,0,1,0,1,1,1,0,0,0,0,8,1,46,1,0,1,1
44,2,0,0,4,0,1,1,0,0,4,0,1,4.4706,1,9,0,10,8,0,0,0,0,0,0,0,0,0,0,12,0,9,0,2787,1,1,1,0
30,1,0,0,4,0,0,0,0,0,0,0,1,3.8151,0,6,0,12,0,0,0,0,0,0,0,1,0,0,0,20,0,11,0,2022,1,1,1,0
145,5,0,2,5,0,1,2,12,1,42,1,0,5.2107,2,10,0,89,20,1,2,4,1,0,1,1,1,0,0,4,1,8,0,82,0,0,1,1
122,5,3,1,5,0,1,1,3,0,24,0,1,5.1067,4,15,1,57,10,1,5,1,0,0,1,1,1,0,0,1,1,7,0,27,1,0,1,1
20,1,0,0,3,0,0,0,0,0,0,0,1,3.5842,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,3449,1,1,1,0
36,1,0,0,5,0,0,0,0,0,0,0,1,3.8163,0,5,0,19,0,0,0,0,0,0,0,1,0,0,0,14,0,12,0,3790,1,1,1,0
99,1,1,0,5,0,1,2,0,1,24,0,0,5.05,0,11,0,53,24,1,1,0,0,0,1,1,1,0,0,5,1,1,1,31,0,0,1,1
40,2,0,0,3,0,1,1,0,0,3,0,1,4.2587,1,9,0,8,7,0,0,0,0,0,0,0,0,0,0,6,0,13,0,4386,1,1,1,0
75,5,0,0,4,0,1,1,18,0,11,0,0,4.7808,4,11,0,13,10,1,5,6,0,0,1,1,1,0,1,3,1,8,1,64,0,0,1,1
47,2,0,0,5,0,1,1,0,0,4,0,1,4.4613,1,7,0,15,8,0,0,0,0,0,0,0,0,0,0,16,0,14,0,4335,1,1,1,0
23,1,0,0,3,0,0,0,0,0,0,0,1,3.7951,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1207,1,1,1,0
35,1,0,0,5,0,0,0,0,0,0,0,1,3.6687,0,6,0,17,0,0,0,0,0,0,0,1,0,0,0,6,0,10,0,945,1,1,1,0
16,1,0,0,3,0,0,0,0,0,0,0,1,3.4528,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,1989,1,1,1,0
54,1,0,0,4,0,1,2,0,1,16,0,0,4.787,0,11,1,13,20,1,1,0,0,0,1,1,0,1,0,5,0,2,1,11,0,0,1,1
32,2,0,0,3,0,0,0,0,0,0,0,1,3.6914,1,10,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,4719,1,1,1,0
34,1,0,0,5,0,0,0,0,0,0,0,1,3.8307,0,7,0,15,0,0,0,0,0,0,0,1,0,0,0,11,0,6,0,1105,1,1,1,0
29,1,0,0,4,0,0,0,0,0,0,0,1,3.8664,0,6,0,11,0,0,0,0,0,0,0,1,1,0,0,5,0,12,0,1309,1,1,1,0
